Alec, 	Faonlkasjngweagnaw[o, 	Action, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Foo, 	CS, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Fooey, 	CS, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Potato, 	Action, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Bob, 	A POTATO Of Bob, 	Action, 	null, 	0, 	null, 	6.8, 	0, 	0, 	0, 	false
Bob, 	The Art Of Bob, 	Action, 	null, 	0, 	null, 	2.0, 	0, 	0, 	0, 	false
IMBOB, 	The Art Of Bob, 	Action, 	null, 	0, 	null, 	6.8, 	0, 	0, 	0, 	false
NotBob, 	The Art Of Bob, 	Action, 	null, 	0, 	null, 	9.0, 	0, 	0, 	0, 	false
Alec, 	Faonlkasjngweagnaw[o, 	Action, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Foo, 	CS, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Fooey, 	CS, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Potato, 	Action, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Bob, 	A POTATO Of Bob, 	Action, 	null, 	0, 	null, 	6.8, 	0, 	0, 	0, 	false
Bob, 	The Art Of Bob, 	Action, 	null, 	0, 	null, 	2.0, 	0, 	0, 	0, 	false
IMBOB, 	The Art Of Bob, 	Action, 	null, 	0, 	null, 	6.8, 	0, 	0, 	0, 	false
NotBob, 	The Art Of Bob, 	Action, 	null, 	0, 	null, 	9.0, 	0, 	0, 	0, 	false
Alec, 	Faonlkasjngweagnaw[o, 	Action, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Foo, 	CS, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Fooey, 	CS, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Alec, 	Potato, 	Action, 	null, 	0, 	null, 	0.0, 	0, 	0, 	0, 	false
Bob, 	A POTATO Of Bob, 	Action, 	null, 	0, 	null, 	6.8, 	0, 	0, 	0, 	false
Bob, 	The Art Of Bob, 	Action, 	null, 	0, 	null, 	2.0, 	0, 	0, 	0, 	false
